entity,added,deleted,commits
packages/react-devtools-shared/src/backend/legacy/renderer.js,162,4,15
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/repro-invalid-destructuring-reassignment-undefined-variable.expect.md,162,0,1
packages/react-devtools-shared/src/__tests__/inspectedElement-test.js,162,25,6
compiler/packages/babel-plugin-react-compiler/docs/passes/17-buildReactiveScopeTerminalsHIR.md,161,0,1
packages/react-dom/src/__tests__/ReactDOMRoot-test.js,161,148,3
compiler/packages/babel-plugin-react-compiler/src/Inference/InferReactivePlaces.ts,161,117,7
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/new-mutability/shared-hook-calls.expect.md,160,160,5
packages/react-devtools-shared/src/__tests__/profilingCharts-test.js,160,0,1
packages/react-server/src/__tests__/ReactServer-test.js,160,9,2
packages/react-devtools-shared/src/devtools/views/SuspenseTab/SuspenseRects.css,160,50,13
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/inner-function/nullable-objects/array-map-named-chained-callbacks.expect.md,160,46,2
scripts/worktree.sh,160,6,2
scripts/tasks/generate-changelog/index.js,158,0,1
compiler/packages/babel-plugin-react-compiler/docs/passes/20-propagateScopeDependenciesHIR.md,158,0,1
compiler/packages/babel-plugin-react-compiler/docs/passes/18-flattenReactiveLoopsHIR.md,158,0,1
compiler/packages/babel-plugin-react-compiler/docs/passes/01-lower.md,157,0,1
compiler/apps/playground/__tests__/parseConfigOverrides.test.mjs,157,0,1
fixtures/dom/src/components/fixtures/fragment-refs/EventDispatchCase.js,157,0,1
packages/react-debug-tools/src/ReactDebugHooks.js,156,83,12
compiler/packages/babel-plugin-react-compiler/src/Validation/ValidateNoVoidUseMemo.ts,156,156,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/error.todo-kitchensink.expect.md,156,163,6
packages/react-devtools-shared/src/devtools/views/SuspenseTab/SuspenseScrubber.js,156,32,6
packages/react-reconciler/src/ReactFiberLane.js,155,67,14
packages/react-devtools-shared/src/devtools/views/Components/StackTraceView.js,154,32,7
compiler/packages/babel-plugin-react-compiler/docs/passes/54-validateStaticComponents.md,153,0,1
compiler/packages/babel-plugin-react-compiler/docs/passes/53-validatePreservedManualMemoization.md,152,0,1
CHANGELOG.md,152,9,10
compiler/packages/babel-plugin-react-compiler/docs/passes/12-rewriteInstructionKindsBasedOnReassignment.md,151,0,1
compiler/packages/babel-plugin-react-compiler/docs/passes/46-validateNoSetStateInEffects.md,150,0,1
