entity,coupled,degree,average-revs
.github/workflows/devtools_regression_tests.yml,.github/workflows/runtime_eslint_plugin_e2e.yml,64,13
packages/react-reconciler/src/forks/ReactFiberConfig.custom.js,packages/react-test-renderer/src/ReactFiberConfigTestHost.js,63,21
.github/workflows/compiler_prereleases.yml,.github/workflows/shared_lint.yml,63,10
.github/workflows/compiler_playground.yml,.github/workflows/shared_lint.yml,63,10
.github/workflows/compiler_playground.yml,.github/workflows/compiler_typescript.yml,63,10
.github/workflows/compiler_prereleases.yml,.github/workflows/compiler_typescript.yml,63,10
packages/shared/forks/ReactFeatureFlags.native-fb-dynamic.js,packages/shared/forks/ReactFeatureFlags.native-fb.js,62,43
packages/react-markup/src/ReactMarkupServer.js,packages/react-server-dom-esm/src/client/ReactFlightDOMClientBrowser.js,62,8
packages/react-noop-renderer/src/ReactNoopServer.js,packages/react-server/src/forks/ReactFizzConfig.custom.js,62,8
packages/react/index.development.js,packages/react/index.experimental.development.js,62,8
packages/react-markup/src/ReactMarkupServer.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientBrowser.js,62,8
packages/react-markup/src/ReactMarkupServer.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientBrowser.js,62,8
packages/react-devtools-shared/src/backendAPI.js,packages/react-devtools-shared/src/frontend/types.js,61,18
.github/workflows/runtime_prereleases.yml,.github/workflows/shared_lint.yml,61,13
package.json,yarn.lock,60,35
.github/workflows/runtime_prereleases.yml,.github/workflows/runtime_releases_from_npm_manual.yml,60,17
.github/workflows/runtime_eslint_plugin_e2e.yml,.github/workflows/runtime_releases_from_npm_manual.yml,60,15
.github/workflows/compiler_typescript.yml,.github/workflows/runtime_eslint_plugin_e2e.yml,60,12
packages/react-dom-bindings/src/server/ReactFizzConfigDOMLegacy.js,packages/react-noop-renderer/src/ReactNoopServer.js,60,12
.github/workflows/compiler_playground.yml,.github/workflows/compiler_prereleases.yml,60,10
.github/workflows/devtools_regression_tests.yml,.github/workflows/shared_lint.yml,60,10
packages/react-native-renderer/src/ReactFiberConfigNative.js,packages/react-reconciler/src/forks/ReactFiberConfig.custom.js,59,22
packages/react-dom-bindings/src/server/ReactFizzConfigDOM.js,packages/react-dom-bindings/src/server/ReactFizzConfigDOMLegacy.js,59,19
packages/react-devtools-shared/src/backend/agent.js,packages/react-devtools-shared/src/bridge.js,59,14
packages/shared/forks/ReactFeatureFlags.test-renderer.www.js,packages/shared/forks/ReactFeatureFlags.www-dynamic.js,58,46
packages/react-reconciler/src/ReactFiberRoot.js,packages/react-reconciler/src/ReactInternalTypes.js,58,16
.github/workflows/runtime_eslint_plugin_e2e.yml,.github/workflows/runtime_prereleases.yml,58,16
packages/react-dom-bindings/src/server/ReactFizzConfigDOMLegacy.js,packages/react-server/src/forks/ReactFizzConfig.custom.js,58,9
packages/react/index.experimental.js,packages/react/index.js,58,9
packages/react-markup/src/ReactMarkupServer.js,packages/react-server-dom-parcel/src/client/ReactFlightDOMClientBrowser.js,58,9
packages/react/index.experimental.js,packages/react/src/ReactServer.experimental.js,58,9
packages/react/index.experimental.development.js,packages/react/index.fb.js,58,9
packages/react-devtools-shared/src/devtools/views/SuspenseTab/SuspenseRects.css,packages/react-devtools-shared/src/devtools/views/SuspenseTab/SuspenseRects.js,57,19
packages/react-reconciler/src/ReactFiberConfigWithNoMutation.js,packages/react-reconciler/src/forks/ReactFiberConfig.custom.js,57,14
.github/workflows/compiler_prereleases.yml,.github/workflows/devtools_regression_tests.yml,57,11
packages/shared/forks/ReactFeatureFlags.native-fb.js,packages/shared/forks/ReactFeatureFlags.www-dynamic.js,56,48
packages/react-devtools-shared/src/backend/types.js,packages/react-devtools-shared/src/frontend/types.js,56,23
packages/react-noop-renderer/src/createReactNoop.js,packages/react-reconciler/src/forks/ReactFiberConfig.custom.js,56,23
packages/react-devtools-shared/src/devtools/views/SuspenseTab/SuspenseTab.css,packages/react-devtools-shared/src/devtools/views/SuspenseTab/SuspenseTab.js,56,20
packages/react-markup/src/ReactFizzConfigMarkup.js,packages/react-server/src/forks/ReactFizzConfig.custom.js,55,9
packages/react-debug-tools/src/ReactDebugHooks.js,packages/react/src/ReactHooks.js,55,9
packages/react/index.experimental.development.js,packages/react/src/ReactServer.experimental.js,55,9
packages/react/index.experimental.development.js,packages/react/index.js,55,9
compiler/apps/playground/next-env.d.ts,compiler/apps/playground/yarn.lock,55,9
packages/shared/forks/ReactFeatureFlags.native-fb-dynamic.js,packages/shared/forks/ReactFeatureFlags.www.js,54,44
compiler/apps/playground/components/Editor/ConfigEditor.tsx,compiler/apps/playground/components/Editor/EditorImpl.tsx,54,17
compiler/apps/playground/components/Editor/ConfigEditor.tsx,compiler/apps/playground/components/Editor/Input.tsx,54,11
packages/shared/forks/ReactFeatureFlags.native-oss.js,packages/shared/forks/ReactFeatureFlags.www-dynamic.js,53,47
packages/shared/forks/ReactFeatureFlags.native-fb-dynamic.js,packages/shared/forks/ReactFeatureFlags.test-renderer.www.js,53,42
packages/shared/forks/ReactFeatureFlags.test-renderer.js,packages/shared/forks/ReactFeatureFlags.www-dynamic.js,52,46
packages/shared/forks/ReactFeatureFlags.native-fb-dynamic.js,packages/shared/forks/ReactFeatureFlags.native-oss.js,52,42
packages/shared/forks/ReactFeatureFlags.native-fb-dynamic.js,packages/shared/forks/ReactFeatureFlags.test-renderer.native-fb.js,52,40
compiler/apps/playground/components/Editor/Input.tsx,compiler/apps/playground/components/Editor/Output.tsx,52,12
packages/react/index.development.js,packages/react/src/ReactClient.js,52,10
packages/shared/forks/ReactFeatureFlags.test-renderer.native-fb.js,packages/shared/forks/ReactFeatureFlags.www-dynamic.js,51,45
packages/shared/forks/ReactFeatureFlags.native-fb-dynamic.js,packages/shared/forks/ReactFeatureFlags.test-renderer.js,51,41
packages/react-devtools-shared/src/backend/legacy/renderer.js,packages/react-devtools-shared/src/frontend/types.js,51,20
packages/react-reconciler/src/ReactFiberConfigWithNoMutation.js,packages/react-test-renderer/src/ReactFiberConfigTestHost.js,51,16
compiler/package.json,compiler/yarn.lock,51,16
.github/workflows/devtools_regression_tests.yml,.github/workflows/runtime_releases_from_npm_manual.yml,51,14
compiler/packages/babel-plugin-react-compiler/src/Entrypoint/Pipeline.ts,compiler/packages/babel-plugin-react-compiler/src/HIR/Environment.ts,50,34
packages/shared/forks/ReactFeatureFlags.native-fb-dynamic.js,packages/shared/forks/ReactFeatureFlags.www-dynamic.js,50,32
packages/react-noop-renderer/src/createReactNoop.js,packages/react-reconciler/src/ReactFiberConfigWithNoMutation.js,50,18
.github/workflows/devtools_regression_tests.yml,.github/workflows/runtime_prereleases.yml,50,14
.github/workflows/compiler_prereleases.yml,.github/workflows/runtime_eslint_plugin_e2e.yml,50,12
.github/workflows/compiler_playground.yml,.github/workflows/runtime_eslint_plugin_e2e.yml,50,12
packages/react/index.fb.js,packages/react/src/ReactClient.js,50,10
compiler/apps/playground/next-env.d.ts,compiler/apps/playground/package.json,50,10
packages/react-art/src/ReactFiberConfigART.js,packages/react-reconciler/src/__tests__/ReactFiberHostContext-test.internal.js,50,10
compiler/apps/playground/components/Editor/ConfigEditor.tsx,compiler/apps/playground/lib/defaultStore.ts,50,10
compiler/apps/playground/components/Editor/EditorImpl.tsx,compiler/apps/playground/components/Editor/Input.tsx,48,15
compiler/packages/babel-plugin-react-compiler/src/Inference/DropManualMemoization.ts,compiler/packages/babel-plugin-react-compiler/src/Validation/ValidateExhaustiveDependencies.ts,48,15
packages/react-reconciler/src/ReactFiberCommitHostEffects.js,packages/react-reconciler/src/forks/ReactFiberConfig.custom.js,48,15
.github/workflows/compiler_typescript.yml,.github/workflows/runtime_releases_from_npm_manual.yml,48,13
packages/shared/ReactFeatureFlags.js,packages/shared/forks/ReactFeatureFlags.www-dynamic.js,47,49
packages/shared/ReactFeatureFlags.js,packages/shared/forks/ReactFeatureFlags.native-fb-dynamic.js,47,44
packages/react-native-renderer/src/ReactFiberConfigNative.js,packages/react-reconciler/src/ReactFiberConfigWithNoMutation.js,47,17
packages/react-reconciler/src/ReactFiberApplyGesture.js,packages/react-reconciler/src/ReactFiberCommitViewTransitions.js,47,17
packages/react-devtools-shared/src/constants.js,packages/react-devtools-shared/src/devtools/views/Profiler/CommitTreeBuilder.js,47,11
packages/react/src/ReactClient.js,packages/react/src/ReactServer.experimental.js,47,11
packages/react/index.js,packages/react/src/ReactClient.js,47,11
compiler/apps/playground/components/Editor/Output.tsx,compiler/apps/playground/components/TabbedWindow.tsx,47,11
